Date : 2026-03-01 21:09:08
Directory : c:\Users\User\Documents\GitHub\cinabono-engine\apps\web
Total : 148 files,  2954 codes, -265 comments, 458 blanks, all 3147 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\createWorkspaceState.test.ts     | TypeScript         |         43 |          0 |         11 |         54 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\createWorkspaceState.ts          | TypeScript         |        157 |          0 |         33 |        190 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\index.ts                         | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\components\workspace-state\types.ts                         | TypeScript         |         26 |          0 |          2 |         28 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\connecting\createConnectingConfig.ts          | TypeScript         |          2 |          0 |          0 |          2 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\graph-options\graphOptions.ts                               | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\edgeLink.ts                                  | TypeScript         |         70 |          0 |         15 |         85 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\index.ts                                     | TypeScript         |          6 |          0 |          0 |          6 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\connecting\normalizeConnection.ts                       | TypeScript         |         18 |          0 |         -1 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\get-value.ts                               | TypeScript         |          6 |          0 |          1 |          7 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\set-value.ts                               | TypeScript         |         16 |          0 |          1 |         17 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\logic-values\value-encoding.ts                          | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\index.ts                                          | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\User\Documents\GitHub\cinabono-engine\apps\web\src\shared\infrastructure\ui-engine\lib\ports\node-ports.ts                                     | TypeScript         |         21 |          0 |          8 |         29 |
